Date,Location,Node,Leaf.Thickness.1,Leaf.Thickness.2,Leaf.Thickness.3,Leaf.Thickness.4,Leaf.Thickness.5,Avg.Thickness.mm
10/02/15,B06,9,0.69,0.41,0.55,0.3,0.62,0.514
10/02/15,E10,8,0.47,0.4,0.29,0.29,0.3,0.35
10/02/15,F05,9,0.55,0.73,0.42,0.33,0.62,0.53
10/02/15,F08,12,0.66,0.43,0.51,0.44,0.38,0.484
10/02/15,G11,10,0.45,0.41,0.35,0.44,0.59,0.448
10/02/15,A18,9,0.32,0.42,0.5,0.53,0.32,0.418
10/09/15,B06,,0.52,0.45,0.5,0.39,0.48,0.468
10/09/15,E10,6,0.44,0.4,0.59,0.41,0.42,0.452
10/09/15,F05,5,0.41,0.44,0.38,0.48,0.44,0.43
10/09/15,F08,,0.44,0.31,0.42,0.41,0.36,0.388
10/09/15,G11,,0.31,0.38,0.35,,,0.346666667
10/09/15,A18,,0.43,0.45,0.45,0.34,0.45,0.424
10/16/15,B06,6,0.45,0.49,0.34,0.27,0.33,0.376
10/16/15,E10,,0.42,0.29,0.46,0.38,0.37,0.384
10/16/15,F05,6,0.31,0.34,0.32,0.36,0.32,0.33
10/16/15,F08,10,0.51,0.3,0.57,0.55,0.29,0.444
10/16/15,G11,9,0.33,0.43,0.35,0.32,0.38,0.362
10/16/15,A18,7,0.3,0.3,0.36,0.29,0.29,0.308
10/23/15,B06,6,0.31,0.3,0.27,0.33,0.28,0.298
10/23/15,E10,8,,,,,,
10/23/15,F05,8,0.46,0.45,0.38,0.4,0.3,0.398
10/23/15,F08,9,0.39,0.35,0.3,0.33,0.3,0.334
10/23/15,G11,10,0.36,0.31,0.33,0.31,0.36,0.334
10/23/15,A18,10,0.3,0.32,0.33,0.31,0.36,0.324
10/31/15,B06,10,0.29,0.29,0.33,0.34,0.35,0.32
10/31/15,E10,6,0.3,0.34,0.32,0.34,0.37,0.334
10/31/15,F05,8,0.31,0.34,0.27,0.29,0.37,0.316
10/31/15,F08,7,0.34,0.42,0.33,0.35,0.35,0.358
10/31/15,G11,6,0.3,0.29,0.37,0.3,0.29,0.31
10/31/15,A18,7,0.28,0.26,0.29,0.28,0.31,0.284
11/06/15,B06,9,0.26,0.29,0.26,0.3,0.28,0.278
11/06/15,E10,4,0.29,0.28,0.31,0.3,0.31,0.298
11/06/15,F05,1,0.34,0.32,0.33,0.32,0.33,0.328
11/06/15,F08,7,0.29,0.29,0.35,0.32,0.26,0.302
11/06/15,G11,8,0.34,0.31,0.31,0.31,0.32,0.318
11/06/15,A18,10,0.36,0.29,0.3,0.32,0.32,0.318
11/13/15,B06,8,0.3,0.26,0.3,0.29,0.32,0.294
11/13/15,E10,3,0.31,0.3,0.32,0.32,0.26,0.302
11/13/15,F05,4,0.31,0.34,0.33,0.32,0.35,0.33
11/13/15,F08,3,0.3,0.33,0.31,0.32,0.31,0.314
11/13/15,G11,10,0.29,0.29,0.33,0.3,0.29,0.3
11/13/15,A18,8,0.3,0.29,0.29,0.3,0.29,0.294
